Date,Temperature_C,Humidity_%,Speed_kmh,Pressure_hPa,Precip_Accum_mm,Wind,NO2,PM10,PM25,AQI,Dominant_pollutant
2022-12-13,4.23,57.88,3.08,1003.78,0.0,NNE,15.76,11.52,7.35,32.136,PM10
2022-12-14,6.11,69.22,1.86,999.65,0.0,NE,25.3,19.46,10.12,34.504000000000005,PM10
2022-12-15,9.97,88.78,6.98,1000.54,3.87,SSE,11.83,20.94,12.36,20.8,PM25
2022-12-16,12.14,97.69,2.76,998.46,8.85,NE,37.8,11.38,8.32,34.936,PM25
2022-12-17,9.36,89.15,3.36,1010.63,0.89,NE,29.25,16.16,14.14,19.950000000000003,PM25
2022-12-18,6.75,73.4,3.21,1024.92,0.0,NNE,8.63,9.6,7.98,42.519999999999996,PM25
2022-12-19,4.69,85.69,1.46,1027.49,0.0,NE,27.92,21.78,17.3,66.728,PM25
2022-12-20,8.2,90.7,0.25,1022.52,0.0,NE,15.84,32.0,26.97,80.8,PM25
2022-12-21,9.43,93.59,0.16,1015.46,0.0,NE,31.31,41.57,37.25,90.432,PM25
2022-12-22,9.77,97.72,0.29,1011.56,0.17,NE,31.82,53.5,49.29,89.392,PM25
2022-12-23,10.86,94.95,0.41,1009.61,0.0,NE,25.98,51.0,47.99,83.624,PM25
2022-12-24,10.89,92.38,2.03,1011.47,0.0,NNW,23.65,43.9,40.78,59.647999999999996,PM25
2022-12-25,11.12,90.15,1.51,1017.69,0.0,NE,19.54,26.2,24.02,77.888,PM25
2022-12-26,11.64,94.89,0.64,1019.47,0.0,NE,16.06,35.95,33.61,75.88,PM25
2022-12-27,11.7,93.8,0.73,1019.35,0.0,NE,24.99,34.08,31.1,58.568,PM25
2022-12-28,10.18,87.3,0.94,1019.82,0.0,NE,26.52,29.68,23.57,67.232,PM25
2022-12-29,11.78,91.9,0.66,1016.48,0.0,NE,15.8,32.16,27.18,35.896,PM25
2022-12-30,13.61,91.59,2.83,1015.82,0.12,SSE,12.9,18.64,14.54,56.791999999999994,PM25
2022-12-31,12.26,95.68,0.17,1023.27,0.0,NE,20.15,27.18,22.83,88.512,PM25
2023-01-01,11.88,94.51,0.34,1024.83,0.0,NE,23.31,50.44,46.89,82.624,PM25
2023-01-02,11.91,95.8,0.23,1023.57,0.0,NE,16.99,44.28,39.53,78.28,PM25
2023-01-03,11.78,97.52,0.64,1022.94,0.0,NE,27.34,40.82,34.1,76.968,PM25
2023-01-04,11.29,94.36,2.38,1022.47,0.23,NE,24.63,38.78,32.46,55.952,PM25
2023-01-05,11.1,91.81,0.5,1017.25,0.0,NE,10.33,26.43,22.48,54.056000000000004,PM25
2023-01-06,11.19,89.44,0.35,1018.66,0.0,NE,6.96,25.76,21.69,71.6,PM25
2023-01-07,10.2,86.3,0.38,1017.82,0.0,NE,16.24,32.18,29.0,75.792,PM25
2023-01-08,11.88,86.7,5.68,1010.84,0.01,SSE,5.6,33.32,30.99,25.408,PM25
2023-01-09,11.92,92.49,9.54,997.4,10.59,SSE,7.5,14.41,10.17,17.65,PM25
2023-01-10,8.82,85.56,4.32,1008.03,2.05,NW,29.88,9.92,7.06,26.488,PM25
2023-01-11,5.8,80.39,0.51,1014.56,0.0,NE,28.2,15.66,10.62,28.768,PM25
2023-01-12,8.43,82.36,3.21,1015.38,0.0,NE,36.26,15.96,11.57,27.855999999999998,PM25
2023-01-13,8.83,88.94,1.33,1013.14,0.0,NE,24.04,14.44,11.19,34.071999999999996,PM25
2023-01-14,9.01,85.3,1.92,1015.72,0.0,NE,25.01,16.69,13.78,33.64,PM25
2023-01-15,10.89,86.2,6.01,1008.67,0.02,SSE,16.79,16.05,13.6,29.8,PM25
2023-01-16,11.06,85.97,5.69,993.46,6.07,SSE,6.8,16.5,12.0,19.650000000000002,PM25
